INFO 2025-09-14 21:07:52,684 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:08:03,332 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:08:04,692 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-09-14 21:08:04,722 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:11:55,493 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 21:11:56,197 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:12:12,535 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\faculty_portal\urls.py changed, reloading.
INFO 2025-09-14 21:12:13,095 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:12:34,592 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 21:12:35,192 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:12:37,445 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-09-14 21:12:37,463 basehttp "GET /login/ HTTP/1.1" 200 3590
INFO 2025-09-14 21:12:39,282 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:12:39,503 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:12:39,681 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:12:39,871 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:12:40,018 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:12:47,399 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:12:47,434 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:12:49,830 basehttp "GET /subjectspage/add/ HTTP/1.1" 200 5700
INFO 2025-09-14 21:12:51,757 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:12:53,105 basehttp "GET /dashboard/ HTTP/1.1" 200 11000
INFO 2025-09-14 21:12:59,759 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:12:59,784 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:12:59,946 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:13:01,568 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:13:01,788 basehttp "GET /subjectspage/ HTTP/1.1" 200 6643
INFO 2025-09-14 21:13:58,023 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:14:00,782 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-09-14 21:14:00,809 basehttp "GET /login/ HTTP/1.1" 200 3359
WARNING 2025-09-14 21:14:01,101 log Not Found: /favicon.ico
WARNING 2025-09-14 21:14:01,102 basehttp "GET /favicon.ico HTTP/1.1" 404 6797
INFO 2025-09-14 21:21:59,218 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 21:22:00,672 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-09-14 21:22:00,697 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 21:22:00,774 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:00,775 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,269 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-14 21:22:07,359 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4184
INFO 2025-09-14 21:22:07,381 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,382 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,382 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,388 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,388 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,388 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-09-14 21:22:07,393 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-14 21:22:16,366 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-14 21:22:16,405 basehttp "GET /admin/ HTTP/1.1" 200 10995
INFO 2025-09-14 21:22:16,437 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-09-14 21:22:16,437 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-09-14 21:22:16,437 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-09-14 21:22:18,123 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 11318
